from_stop,to_stop,cost_km
27,8833,0.7301
27,9641,0.8799
27,9788,0.808
28,0,21.3181
28,28,0.0
28,838,0.8067
28,903,0.6387
28,2496,1.0142
28,2941,1.2448
28,4422,1.1056
28,6285,1.6237
28,7514,1.4389
28,8198,1.379
28,8378,1.2228
28,9482,1.5224
29,0,27.4991
29,29,0.0
29,2562,0.4167
29,2780,0.4962
29,3487,0.6949
29,4283,0.8485
29,5501,0.9559
29,5815,0.7958
29,6811,0.891
29,8178,0.7867
29,8849,0.7575
29,9628,0.7851
30,0,25.7208
30,30,0.0
30,491,0.8642
30,749,1.2454
30,910,1.1511
30,1031,0.7691
30,1926,1.2922
30,3125,0.9471
30,4876,1.0602
30,6872,1.019
30,8904,0.4836
30,9848,1.1261
31,0,36.678
31,31,0.0
31,49,0.9563
31,387,0.6927
31,2102,0.8914
31,2127,0.3845
31,2420,0.8012
31,3221,0.633
31,5222,0.4687
31,7746,0.1174
31,8063,0.7288
31,8667,0.8528
32,0,34.8743
32,32,0.0
32,528,0.9849
32,1258,1.0041
32,2171,0.3187
32,2549,0.9342
32,2558,0.8117
32,2609,0.72
32,3855,0.9127
32,6404,0.3626
32,6510,0.8554
32,9973,0.5812
33,0,48.0425
33,33,0.0
33,52,0.7893
33,575,0.3276
33,1698,1.0112
33,2871,0.7454
33,4325,0.4665
33,5210,0.728
33,5982,0.7803
33,6149,0.4634
33,6409,0.6174
33,9390,0.0153
34,0,42.5095
34,34,0.0
34,2503,0.6833
34,2553,1.2101
34,3882,0.564
34,5577,1.1254
34,5593,0.4671
34,5851,0.424
34,6869,0.6638
34,6911,0.8674
34,8039,0.5219
34,8160,0.6714
35,0,28.9901
35,35,0.0
35,2120,0.3961
35,3405,0.1157
35,3550,0.3307
35,3561,1.1346
35,4025,1.0801
35,4545,0.5431
35,5787,0.9465
35,6011,0.8265
35,7155,1.1295
35,8332,1.1154
36,0,29.3357
36,36,0.0
36,122,0.9086
36,641,1.1658
36,964,1.0691
36,2909,0.2024
36,3800,0.5537
36,4615,0.9469
36,5715,0.6647
36,6187,1.0136
36,6683,0.5772
36,8139,1.1235
37,0,19.0305
37,37,0.0
37,1275,0.6783
37,1593,0.4571
37,2945,1.0818
37,3061,0.4168
37,3253,1.3077
37,3673,0.9693
37,4328,0.8254
37,5177,0.7398
37,5801,0.8589
37,9527,0.2142
38,0,23.1842
38,38,0.0
38,1134,0.0704
38,1724,0.6475
38,2168,0.746
38,4548,1.0479
38,5477,1.0878
38,6190,0.8996
38,6400,1.0682
38,7360,1.3604
38,8008,1.0741
38,8167,0.364
39,0,15.8645
39,18,0.5508
39,39,0.0
39,2263,0.2153
39,3241,0.7485
39,4332,0.8008
39,5712,0.8496
39,6549,0.48
39,7082,0.526
39,7619,0.5274
39,8363,0.9327
39,8794,0.8648
40,0,34.8941
40,40,0.0
40,655,0.7943
40,1697,0.923
40,5556,0.6612
40,5724,0.5526
40,6046,1.0837
40,7222,0.6396
40,7439,0.7652
40,7490,0.9488
40,7502,0.2146
40,8875,0.942
41,0,15.257
41,41,0.0
41,2148,0.6357
41,2414,0.6948
41,5046,0.3864
41,7049,0.5781
41,7483,0.4469
41,7894,0.5228
41,8564,0.6689
41,8786,0.1934
41,9008,0.3596
41,9092,0.5117
42,0,24.1614
42,42,0.0
42,628,0.9374
42,925,0.9762
42,3488,0.7152
42,5090,0.1509
42,5565,0.8001
42,7097,0.7152
42,9172,0.6636
42,9639,0.8612
42,9900,0.868
42,9988,0.6588
43,0,37.1232
43,43,0.0
43,836,1.0032
43,1781,0.54
43,1854,0.706
43,2720,0.7276
43,4726,1.262
43,4787,1.141
43,5709,0.494
43,5966,0.743
43,7241,1.2782
43,7976,1.3233
44,0,23.0806
44,44,0.0
44,638,1.0174
44,1118,0.732
44,1525,0.4449
44,2003,0.8154
44,3972,1.1003
44,4154,0.5065
44,5737,0.8765
44,7260,0.2649
44,7799,0.5592
44,9300,0.4334
45,0,23.579
45,45,0.0
45,894,0.5434
45,3147,0.5456
45,3373,0.0378
45,3868,0.3
45,4322,0.8189
45,4412,0.7213
45,7132,0.6119
45,7561,0.1522
45,8543,0.2977
45,8847,0.6947
46,0,8.9266
46,46,0.0
46,307,0.7759
46,1675,0.832
46,3715,1.1484
46,3752,0.945
46,3909,0.9037
46,5063,1.1593
46,6406,1.2146
46,6936,0.9161
46,7803,0.3987
46,8192,1.5989
47,0,22.9023
47,47,0.0
47,2987,1.059
47,3293,1.4475
47,3456,1.6625
47,5681,1.7789
47,7188,1.2098
47,7321,0.8149
47,7339,1.1593
47,8744,1.3868
47,9051,1.8154
47,9678,1.2952
48,0,24.2369
48,48,0.0
48,119,0.5168
48,757,0.9577
48,4290,0.7419
48,4459,0.7272
48,4984,0.3327
48,6332,0.827
48,6530,0.6557
48,7233,0.2945
48,8772,0.7773
48,9222,0.9995
49,0,36.35
49,31,0.9563
49,49,0.0
49,387,0.729
49,2447,0.9789
49,2787,0.8081
49,3377,0.8733
49,4531,0.9328
49,5632,0.4388
49,6455,0.4646
49,7746,0.9103
49,8667,0.8528
50,0,46.5162
50,50,0.0
50,366,0.7366
50,1756,0.6679
50,3709,0.848
50,4203,0.4225
50,4386,0.7013
50,5807,1.0015
50,7027,1.0629
50,8052,0.9645
50,9164,0.7713
50,9971,0.5215
51,0,27.1563
51,51,0.0
51,2070,1.2423
51,2735,0.8002
51,3650,0.706
51,4582,0.469
51,7003,0.8221
51,7182,0.3384
51,7986,0.6893
51,8449,0.9042
51,8485,0.6335
51,9425,0.2235
52,0,47.84
52,33,0.7893
52,52,0.0
52,575,0.6865
52,577,0.868
52,1022,1.0222
52,1223,0.6898
52,2304,0.6347
52,3885,0.9122
52,5210,0.598
52,6409,0.2093
52,9390,0.8
53,0,34.7703
53,53,0.0
53,280,0.3222
53,905,0.1794
53,2074,1.0625
53,3177,1.0185
53,3334,0.4797
53,4058,0.3908
53,5706,0.4903
53,5740,0.4283
53,7115,1.0903
53,9467,1.1288
54,0,17.1151
54,54,0.0
54,496,0.9723
54,520,0.5728
54,961,0.3574
54,2577,1.001
54,3648,0.2961
54,4224,1.0005
54,5215,1.0594
54,7964,0.7874
54,8507,0.8181
54,9960,0.6736
55,0,36.9666
55,55,0.0
55,242,0.4761
55,2344,1.4387
55,2842,1.2483
55,3641,0.9004
55,3838,1.0931
55,4580,0.8865
55,5338,0.9183
55,6709,1.2618
55,8899,1.4333
55,8901,0.9897
56,0,19.5247
56,56,0.0
56,77,1.0111
56,1216,0.9509
56,3113,0.6528
56,4835,0.7298
56,5444,1.1922
56,6023,0.8028
56,6860,1.11
56,6863,1.1559
56,7151,1.1266
56,9173,0.958
57,0,25.347
57,57,0.0
57,1626,0.8801
57,4013,0.2257
57,4369,0.8078
57,4961,0.6483
57,5652,0.6628
57,6980,0.8948
57,7328,0.7636
57,8322,0.7198
57,8657,1.0259
57,9728,0.7776
58,0,23.5708
58,58,0.0
58,290,1.0127
58,610,0.6738
58,4089,0.8067
58,4924,0.9004
58,5016,0.8867
58,5122,1.0415
58,5161,0.3533
58,6382,1.1601
58,6557,0.6453
58,6800,1.1125
59,0,4.5639
59,59,0.0
59,1325,0.7893
59,1775,0.8912
59,2069,0.48
59,4115,1.1084
59,5408,0.2952
59,5931,0.6776
59,8080,1.0014
59,8702,0.6418
59,8883,0.9409
59,9041,0.9687
60,0,6.4989
60,60,0.0
60,251,0.3773
60,406,0.6197
60,639,0.8642
60,1498,0.9177
60,1581,0.4394
60,1918,0.7738
60,2305,1.0423
60,6082,1.1146
60,7877,0.2484
60,9213,1.0324
61,0,19.9365
61,61,0.0
61,323,0.7656
61,1208,0.7368
61,1747,0.8192
61,2176,0.5291
61,3034,0.5044
61,4130,0.5001
61,6460,0.5096
61,6595,0.8403
61,6857,0.3182
61,8704,0.7116
62,0,32.465
62,62,0.0
62,769,0.9308
62,2140,1.1975
62,2535,0.3978
62,4177,1.0992
62,4861,1.4313
62,6048,1.3037
62,6471,0.9323
62,6790,0.1915
62,8861,0.8049
62,9569,0.514
63,0,8.0885
63,63,0.0
63,1378,0.2046
63,1522,0.8377
63,3186,0.3165
63,4842,0.2962
63,5653,0.6294
63,6296,0.5608
63,6967,0.5319
63,7461,0.7022
63,8728,0.6215
63,9489,0.6953
64,0,14.0277
64,64,0.0
64,386,0.9877
64,2617,0.9999
64,3159,0.8806
64,3911,0.7768
64,3923,1.0383
64,4041,0.6243
64,4330,0.5614
64,6795,0.3146
64,8356,0.2063
64,8572,0.7398
65,0,19.2092
65,65,0.0
65,941,0.8816
65,968,1.5948
65,3878,1.4009
65,4693,1.4919
65,5126,0.7897
65,6273,1.4524
65,6435,1.36
65,7114,1.7139
65,9341,0.5236
65,9502,1.5599
66,0,23.167
66,66,0.0
66,262,0.6788
66,3545,0.9459
66,6188,0.6696
66,6438,0.99
66,6965,0.9927
66,7214,0.8657
66,8126,0.9815
66,8796,0.6537
66,8895,0.7802
66,9969,0.8783
67,0,35.454
67,67,0.0
67,530,0.744
67,611,0.1866
67,2098,0.5961
67,4939,0.8019
67,5722,0.9599
67,8232,0.7073
67,8346,0.6011
67,9585,0.9415
67,9589,0.751
67,9887,0.2732
68,0,21.2845
68,68,0.0
68,83,0.8195
68,722,0.6168
68,850,0.5194
68,2306,0.8412
68,2883,0.8679
68,6689,0.6894
68,7314,0.6332
68,7324,0.4375
68,7495,0.685
68,8647,1.1264
69,0,50.052
69,69,0.0
69,390,0.4894
69,1591,0.4301
69,2432,0.4591
69,3913,0.6578
69,4717,0.5908
69,4761,0.5467
69,6227,0.5008
69,8495,0.6509
69,8735,0.4247
69,9087,0.4702
70,0,41.0252
70,70,0.0
70,860,0.7647
70,1811,0.5821
70,2005,0.9751
70,2698,0.119
70,3420,0.5501
70,6192,0.7423
70,6554,0.948
70,7518,1.0043
70,9076,0.7981
70,9828,0.2498
71,0,26.8625
71,71,0.0
71,234,0.4923
71,1847,0.3825
71,3368,0.5905
71,4880,0.7326
71,5436,0.9824
71,6881,0.5561
71,6980,0.9581
71,7325,0.3723
71,7358,0.1553
71,9619,0.7443
72,0,28.6257
72,72,0.0
72,1233,1.7642
72,1515,0.4612
72,1576,1.3703
72,2528,1.1109
72,2761,0.8534
72,3313,0.1942
72,4417,1.4818
72,5784,0.9543
72,8844,1.1022
72,8984,1.4896
73,0,29.6727
73,73,0.0
73,292,0.8589
73,503,0.801
73,2380,0.6913
73,2552,0.9295
73,3178,0.3674
73,3275,0.8401
73,3860,0.335
73,6671,0.6486
73,7021,0.3474
73,8325,0.6835
74,0,40.4969
74,74,0.0
74,1915,1.0726
74,2047,0.0673
74,2321,0.8942
74,3458,0.7745
74,4659,0.9054
74,6575,0.0655
74,7623,1.1467
74,7851,0.782
74,8793,1.065
74,9128,0.1975
75,0,24.2878
75,75,0.0
75,304,0.8855
75,509,0.2221
75,1986,0.1117
75,2613,0.8333
75,3080,0.5068
75,7327,0.6593
75,7747,1.0229
75,8725,0.8201
75,8832,0.5994
75,9896,0.7765
76,0,28.1245
76,76,0.0
76,1244,1.0985
76,1817,1.0604
76,2838,0.8926
76,4488,0.7146
76,4797,1.19
76,5153,0.8597
76,7654,1.3786
76,8416,0.8576
76,8527,0.9349
76,9346,1.2698
77,0,20.4086
77,56,1.0111
77,77,0.0
77,354,0.4375
77,1216,0.7849
77,1788,0.8451
77,2008,0.6923
77,4835,0.9884
77,6860,0.2603
77,6863,0.6477
77,8199,0.6689
77,9173,0.8009
78,0,17.6738
78,78,0.0
78,564,0.7764
78,2406,0.845
78,2753,0.8959
78,3598,0.9506
78,4345,0.7546
78,4769,0.9791
78,6079,0.7337
78,6578,0.937
78,7463,0.8817
78,8078,0.7523
79,0,37.8707
79,79,0.0
79,1177,0.5991
79,1960,0.6182
79,2249,0.4737
79,2505,0.4936
79,4066,1.0457
79,4730,0.5927
79,4800,0.9011
79,5141,0.7053
79,9315,1.1076
79,9571,0.8995
80,0,34.7135
80,80,0.0
80,1002,0.6749
80,1911,1.224
80,2207,0.5059
80,2381,0.874
80,3248,0.6531
80,3623,1.056
80,6785,0.7768
80,7226,1.1451
80,7497,1.2424
80,9347,0.2887
81,0,19.4794
81,81,0.0
81,752,0.2977
81,928,1.3087
81,1494,1.457
81,1787,1.3725
81,2577,1.5717
81,4199,0.6097
81,5215,1.4008
81,7065,1.5148
81,7440,1.6306
81,7525,0.7178
82,0,15.981
82,82,0.0
82,753,0.365
82,2712,1.1965
82,2890,0.2456
82,3015,0.9731
82,5277,0.3155
82,5590,1.2852
82,7698,1.1722
82,8067,0.6739
82,8896,0.8379
82,8976,0.6713
83,0,21.858
83,68,0.8195
83,83,0.0
83,722,0.6966
83,850,0.3218
83,2883,0.6929
83,6096,0.7741
83,6689,0.6877
83,7314,0.7164
83,7324,0.4963
83,7638,0.6767
83,8969,0.8887
84,0,19.491
84,84,0.0
84,3907,0.2874
84,4581,0.7701
84,4777,0.871
84,5759,0.8925
84,6659,1.068
84,6791,0.77
84,7427,0.3314
84,7604,0.9635
84,7610,0.7535
84,9266,0.9702
85,0,13.6939
85,85,0.0
85,216,0.5686
85,706,0.8106
85,1036,1.0029
85,1262,0.9888
85,5067,0.8024
85,6666,0.9667
85,6930,0.6099
85,8355,1.01
85,9102,0.8514
85,9682,0.8434
86,0,30.3983
86,86,0.0
86,196,0.2534
86,2589,1.045
86,3499,0.658
86,4494,0.3626
86,4560,0.6958
86,5483,0.399
86,8219,0.84
86,8977,0.6362
86,9234,0.6582
86,9462,0.4028
87,0,17.7108
87,87,0.0
87,1225,0.3854
87,2762,0.4755
87,3595,0.5794
87,4185,0.9865
87,5923,0.8027
87,7735,0.9208
87,7946,1.0006
87,8956,0.8524
87,9251,0.5951
87,9494,0.9727
88,0,40.3071
88,88,0.0
88,197,0.7242
88,554,0.8129
88,1102,0.5658
88,1120,0.6305
88,2119,0.3534
88,2262,0.4898
88,2461,0.5355
88,5147,0.8391
88,6768,0.4165
88,8567,0.8472
89,0,10.4447
89,89,0.0
89,2282,0.728
89,3521,0.9341
89,5879,1.0658
89,6744,0.5865
89,7131,0.7894
89,7361,1.2269
89,7835,1.1687
89,8518,1.0415
89,9444,0.517
89,9495,1.003
90,0,19.011
90,90,0.0
90,644,0.3805
90,2036,1.016
90,2315,0.8556
90,2355,0.5451
90,2476,0.8816
90,3411,0.7825
90,3785,1.0125
90,6658,1.0758
90,8320,1.1652
90,8424,0.719
91,0,25.4943
91,91,0.0
91,2978,0.7459
91,3711,0.5902
91,4732,0.7211
91,4973,0.4059
91,5011,0.7112
91,5244,0.4088
91,6442,0.6889
91,8302,0.6006
91,9668,0.688
91,9890,0.4333
92,0,25.7692
92,92,0.0
92,851,0.7408
92,1344,1.3028
92,1801,1.621
92,2916,1.5284
92,4938,0.2994
92,4959,1.1872
92,5517,0.4833
92,5753,1.4905
92,7355,1.1765
92,9605,1.1499
93,0,29.1392
93,93,0.0
93,425,0.8646
93,914,0.9095
93,1330,0.8246
93,1879,0.5737
93,3908,0.9345
93,4385,0.6261
93,4937,0.6833
93,6700,0.7093
93,7840,0.899
93,9857,0.2542
94,0,36.5732
94,94,0.0
94,2637,1.1645
94,2972,1.2438
94,3422,0.7448
94,3682,0.8832
94,3737,1.3203
94,5086,1.1432
94,5665,0.9047
94,6558,1.27
94,8294,0.3706
94,9083,1.0706
95,0,7.9728
95,95,0.0
95,1257,0.3641
95,2486,0.9104
95,3905,0.7284
95,4697,0.9316
95,4964,0.7554
95,6302,0.5935
95,8705,0.7251
95,8854,0.806
95,9365,0.7757
95,9607,0.0532
96,0,15.5424
96,96,0.0
96,815,0.7048
96,1316,0.7626
96,2690,0.5636
96,3273,1.0969
96,4541,0.5927
96,6381,0.772
96,7311,0.4364
96,7521,1.194
96,8403,1.0444
96,9094,0.9204
97,0,19.6489
97,97,0.0
97,343,0.9861
97,1949,0.4361
97,4101,0.7996
97,4198,1.0487
97,4416,1.0949
97,7380,0.2309
97,8371,0.8673
97,8633,1.2779
97,9362,0.7699
97,9694,0.1407
98,0,24.4344
98,98,0.0
98,3488,0.4746
98,5565,0.4469
98,6253,0.5722
98,6441,0.814
98,6685,0.6364
98,7788,0.0955
98,8469,0.6825
98,9172,0.5079
98,9639,0.8206
98,9988,0.5913
99,0,21.158
99,99,0.0
99,400,0.3776
99,1575,1.2299
99,2308,0.4623
99,2706,1.0897
99,4996,0.9369
99,6596,0.9322
99,7726,0.7985
99,8748,1.0465
99,9751,0.5641
99,9875,1.2896
100,0,40.4611
100,100,0.0
100,2010,0.6997
100,2413,0.2597
100,5774,0.478
100,6989,0.2787
100,7257,0.8443
100,7705,0.029
100,7800,0.4278
100,7959,0.7719
100,9052,0.6328
100,9748,0.3136
101,0,22.1219
101,101,0.0
101,161,0.2854
101,591,0.5486
101,2177,0.7958
101,3365,0.1988
101,4875,0.7238
101,5519,0.6856
101,6676,0.1784
101,7072,0.8913
101,8031,0.6025
101,9451,0.7486
102,0,34.0869
102,102,0.0
102,404,0.6044
102,1530,0.5938
102,1613,0.9275
102,1657,1.1312
102,3966,1.1071
102,4235,0.3218
102,5190,1.1953
102,5601,0.8291
102,6397,1.0947
102,6855,1.094
103,0,9.1624
103,103,0.0
103,1093,0.409
103,1703,0.4645
103,1872,0.3725
103,2302,0.4643
103,2866,0.5578
103,2886,0.1492
103,3246,0.572
103,6419,0.4634
103,8408,0.459
103,9409,0.2442
104,0,39.9976
104,104,0.0
104,2870,1.0472
104,3779,0.6942
104,5489,1.0156
104,6834,1.0944
104,6852,0.2403
104,7058,1.0691
104,7998,0.6131
104,8003,1.2567
104,9190,0.59
104,9760,1.3484
105,0,11.8582
105,105,0.0
105,1753,0.6658
105,2039,0.8855
105,4015,1.0444
105,5451,1.1062
105,5772,0.5667
105,6276,0.7299
105,6612,0.5399
105,7915,0.7152
105,9130,1.0347
105,9756,0.7341
106,0,6.7014
106,106,0.0
106,1565,0.8994
106,3351,0.9655
106,4352,0.6357
106,4723,0.7892
106,5863,0.861
106,8114,0.7543
106,8651,0.1613
106,9181,0.6121
106,9213,0.8417
106,9405,0.6129
107,0,26.5572
107,107,0.0
107,398,0.6017
107,627,0.9144
107,4062,0.6683
107,4831,1.1448
107,6611,0.9637
107,6880,0.8919
107,7150,1.0208
107,7931,0.9594
107,8800,0.5381
107,9412,0.1608
108,0,10.1786
108,108,0.0
108,585,0.7662
108,1719,0.8302
108,3812,0.4246
108,5159,0.7971
108,6493,0.7627
108,6691,0.7548
108,6711,0.534
108,6816,0.8282
108,7016,0.8375
108,7798,0.3244
109,0,22.9343
109,109,0.0
109,201,0.5391
109,409,1.221
109,1135,0.3061
109,1391,0.2621
109,2049,0.5328
109,4300,0.7237
109,6467,0.4389
109,7265,0.5567
109,7726,1.2827
109,9875,0.8447
110,0,8.3701
110,19,0.1784
110,110,0.0
110,1070,0.5123
110,1269,0.156
110,2180,1.3341
110,2229,0.8237
110,2403,1.4696
110,3707,1.2096
110,4179,1.1029
110,7337,1.4182
110,7949,0.7269
111,0,23.6022
111,111,0.0
111,760,0.9286
111,866,0.4313
111,1808,0.914
111,1867,0.8649
111,2172,0.932
111,3619,0.9355
111,6838,0.1473
111,7741,0.7287
111,9257,0.5371
111,9772,1.1497
112,0,41.3496
112,112,0.0
112,2185,0.7868
112,2802,1.0382
112,4682,1.0699
112,4904,0.6598
112,6431,0.9855
112,7140,1.1026
112,8003,0.8316
112,8947,0.7473
112,9676,1.3128
112,9760,0.6456
113,0,29.6677
113,113,0.0
113,126,0.6621
113,737,0.6484
113,820,0.3673
113,3326,0.3477
113,4447,0.6482
113,4524,0.2564
113,5662,0.3389
113,6513,0.6104
113,6626,0.0263
113,8542,0.4384
114,0,23.2353
114,114,0.0
114,1568,0.7184
114,1729,1.3261
114,1922,0.9507
114,2579,1.0339
114,4194,0.982
114,4392,0.8957
114,5780,1.2863
114,6236,1.0841
114,8060,0.6742
114,8868,1.0472
115,0,35.0019
115,115,0.0
115,1157,0.767
115,2197,0.7242
115,3081,0.7777
115,5004,0.78
115,5876,0.3646
115,7910,0.6367
115,7926,1.2416
115,8574,0.9413
115,9070,1.0462
115,9615,0.7504
116,0,32.356
116,116,0.0
116,1327,1.1493
116,2240,0.6069
116,2479,1.0109
116,3299,0.538
116,4001,0.7343
116,4429,0.8918
116,5533,0.7745
116,6139,0.5616
116,7116,1.0595
116,8394,1.2369
117,0,18.2904
117,117,0.0
117,368,0.8704
117,597,0.9656
117,4607,1.06
117,4913,0.7285
117,4958,0.2391
117,7432,0.8461
117,8621,0.7738
117,8682,0.7562
117,8810,1.1803
117,9869,0.909
118,0,37.8902
118,118,0.0
118,785,1.1759
118,1356,1.0564
118,3497,0.4316
118,3705,1.0167
118,3750,0.8791
118,4602,1.1504
118,6948,1.0869
118,7303,0.4015
118,8714,0.9563
118,9911,1.1384
119,0,23.8666
119,48,0.5168
119,119,0.0
119,757,0.4446
119,3441,0.859
119,4290,0.7673
119,4912,0.8793
119,4984,0.8377
119,6332,0.443
119,7233,0.49
119,7955,0.6382
119,9222,0.4865
120,0,34.9233
120,120,0.0
120,923,0.5735
120,1669,0.6688
120,2524,0.3134
120,3001,0.7413
120,3475,0.4649
120,3618,0.7829
120,7777,0.4938
120,7903,0.2885
120,8360,0.5808
120,9107,0.5305
121,0,35.4752
121,121,0.0
121,1772,0.6102
121,2002,0.7827
121,3225,0.9179
121,3884,0.6997
121,4910,0.8982
121,5405,0.0753
